Size;Algorithm;Time
18;KR1992MDGR;0.000127596
18;KR1992MDGR;7.46252e-005
18;KR1992MDGR;6.79622e-005
34;KR1992MDGR;0.000147918
34;KR1992MDGR;0.000136258
34;KR1992MDGR;0.00013226
66;KR1992MDGR;0.000386785
66;KR1992MDGR;0.000350805
66;KR1992MDGR;0.000343809
130;KR1992MDGR;0.00112737
130;KR1992MDGR;0.00111138
130;KR1992MDGR;0.00109739
258;KR1992MDGR;0.00388284
258;KR1992MDGR;0.00375458
258;KR1992MDGR;0.00375758
514;KR1992MDGR;0.0141358
514;KR1992MDGR;0.015043
514;KR1992MDGR;0.0141778
1026;KR1992MDGR;0.0564839
1026;KR1992MDGR;0.0560548
1026;KR1992MDGR;0.0597354
2050;KR1992MDGR;0.228921
2050;KR1992MDGR;0.223868
2050;KR1992MDGR;0.225375
4098;KR1992MDGR;0.898301
4098;KR1992MDGR;0.909481
4098;KR1992MDGR;0.909903
8194;KR1992MDGR;3.63295
8194;KR1992MDGR;3.66452
8194;KR1992MDGR;3.6747
16386;KR1992MDGR;15.4804
16386;KR1992MDGR;15.914
16386;KR1992MDGR;16.0192
32770;KR1992MDGR;81.1808
32770;KR1992MDGR;83.8746
32770;KR1992MDGR;83.6543
65538;KR1992MDGR;349.63
