6;KR1992MDGR;7.56246e-005
6;KR1992MDGR;2.73181e-005
6;KR1992MDGR;2.4653e-005
10;KR1992MDGR;8.62853e-005
10;KR1992MDGR;6.42976e-005
10;KR1992MDGR;5.89672e-005
18;KR1992MDGR;0.000320488
18;KR1992MDGR;0.00028784
18;KR1992MDGR;0.000380788
34;KR1992MDGR;0.00140855
34;KR1992MDGR;0.00127229
34;KR1992MDGR;0.00127329
66;KR1992MDGR;0.00732326
66;KR1992MDGR;0.00701143
66;KR1992MDGR;0.00714602
130;KR1992MDGR;0.0453921
130;KR1992MDGR;0.0445192
130;KR1992MDGR;0.0456529
258;KR1992MDGR;0.309815
258;KR1992MDGR;0.283895
258;KR1992MDGR;0.28379
514;KR1992MDGR;3.30154
514;KR1992MDGR;3.27914
514;KR1992MDGR;3.27895
1026;KR1992MDGR;29.8784
1026;KR1992MDGR;29.8123
1026;KR1992MDGR;29.8949
2050;KR1992MDGR;259.892
2050;KR1992MDGR;260.001
2050;KR1992MDGR;260.121
